Number;Date-Time;Temp(°C);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;28.04.2025 00:00:00;20,68;0,01;0,00;1483,84
2;28.04.2025 00:30:00;20,71;0,02;0,02;1483,94
3;28.04.2025 01:00:00;20,71;0,01;0,00;1483,93
4;28.04.2025 01:30:00;20,74;0,02;0,02;1484,03
5;28.04.2025 02:00:00;20,68;0,01;0,00;1483,84
6;28.04.2025 02:30:00;20,56;0,02;0,02;1483,49
7;28.04.2025 03:00:00;20,42;0,02;0,02;1483,05
8;28.04.2025 03:30:00;20,24;0,01;0,00;1482,49
9;28.04.2025 04:00:00;20,06;0,02;0,02;1481,96
10;28.04.2025 04:30:00;19,68;0,01;0,00;1480,76
11;28.04.2025 05:00:00;19,54;0,01;0,00;1480,30
12;28.04.2025 05:30:00;19,74;0,01;0,00;1480,94
13;28.04.2025 06:00:00;19,57;0,01;0,00;1480,39
14;28.04.2025 06:30:00;19,10;0,01;0,00;1478,90
15;28.04.2025 07:00:00;18,51;0,01;0,00;1477,01
16;28.04.2025 07:30:00;18,21;0,01;0,00;1476,05
17;28.04.2025 08:00:00;18,24;0,01;0,00;1476,15
18;28.04.2025 08:30:00;18,21;0,01;0,00;1476,05
19;28.04.2025 09:00:00;18,15;0,01;0,00;1475,86
20;28.04.2025 09:30:00;17,80;0,01;0,00;1474,69
21;28.04.2025 10:00:00;17,17;0,01;0,00;1472,62
22;28.04.2025 10:30:00;16,39;0,01;0,00;1470,00
23;28.04.2025 11:00:00;15,85;0,01;0,00;1468,15
24;28.04.2025 11:30:00;15,76;0,02;0,02;1467,85
25;28.04.2025 12:00:00;15,70;0,01;0,00;1467,63
26;28.04.2025 12:30:00;15,64;0,02;0,02;1467,43
27;28.04.2025 13:00:00;15,55;0,01;0,00;1467,10
28;28.04.2025 13:30:00;15,25;0,02;0,02;1466,06
29;28.04.2025 14:00:00;14,70;0,01;0,00;1464,12
30;28.04.2025 14:30:00;13,93;0,01;0,00;1461,38
31;28.04.2025 15:00:00;13,13;0,01;0,00;1458,46
32;28.04.2025 15:30:00;12,26;0,01;0,00;1455,21
33;28.04.2025 16:00:00;11,53;0,01;0,00;1452,46
34;28.04.2025 16:30:00;11,09;0,01;0,00;1450,75
35;28.04.2025 17:00:00;10,93;0,01;0,00;1450,13
36;28.04.2025 17:30:00;10,86;0,01;0,00;1449,88
37;28.04.2025 18:00:00;10,74;0,01;0,00;1449,39
38;28.04.2025 18:30:00;10,48;0,01;0,00;1448,38
39;28.04.2025 19:00:00;10,22;0,01;0,00;1447,37
40;28.04.2025 19:30:00;9,96;0,01;0,00;1446,35
41;28.04.2025 20:00:00;9,80;0,01;0,00;1445,70
42;28.04.2025 20:30:00;9,64;0,01;0,00;1445,05
43;28.04.2025 21:00:00;9,51;0,00;0,00;1444,53
44;28.04.2025 21:30:00;9,44;0,00;0,00;1444,27
45;28.04.2025 22:00:00;9,34;0,00;0,00;1443,87
46;28.04.2025 22:30:00;9,31;0,00;0,00;1443,74
47;28.04.2025 23:00:00;9,28;0,00;0,00;1443,61
48;28.04.2025 23:30:00;9,28;0,00;0,00;1443,61
49;29.04.2025 00:00:00;9,28;0,00;0,00;1443,61
50;29.04.2025 00:30:00;9,31;0,00;0,00;1443,74
51;29.04.2025 01:00:00;9,38;0,00;0,00;1444,01
52;29.04.2025 01:30:00;9,44;0,00;0,00;1444,27
53;29.04.2025 02:00:00;9,51;0,00;0,00;1444,53
54;29.04.2025 02:30:00;9,54;0,01;0,00;1444,66
55;29.04.2025 03:00:00;9,57;0,01;0,00;1444,79
56;29.04.2025 03:30:00;9,54;0,01;0,00;1444,66
57;29.04.2025 04:00:00;9,41;0,00;0,00;1444,14
58;29.04.2025 04:30:00;9,31;0,00;0,00;1443,74
59;29.04.2025 05:00:00;9,11;0,00;0,00;1442,95
60;29.04.2025 05:30:00;8,78;0,00;0,00;1441,61
61;29.04.2025 06:00:00;8,52;0,00;0,00;1440,53
62;29.04.2025 06:30:00;8,32;0,00;0,00;1439,71
63;29.04.2025 07:00:00;8,19;0,00;0,00;1439,16
64;29.04.2025 07:30:00;8,22;0,00;0,00;1439,29
65;29.04.2025 08:00:00;8,52;0,00;0,00;1440,53
66;29.04.2025 08:30:00;9,11;0,00;0,00;1442,95
67;29.04.2025 09:00:00;9,83;0,01;0,00;1445,83
68;29.04.2025 09:30:00;10,70;0,01;0,00;1449,26
69;29.04.2025 10:00:00;11,60;0,01;0,00;1452,70
70;29.04.2025 10:30:00;12,85;0,01;0,00;1457,42
71;29.04.2025 11:00:00;14,15;0,01;0,00;1462,16
72;29.04.2025 11:30:00;15,09;0,01;0,00;1465,52
73;29.04.2025 12:00:00;16,27;0,01;0,00;1469,59
74;29.04.2025 12:30:00;17,56;0,01;0,00;1473,91
75;29.04.2025 13:00:00;18,36;0,01;0,00;1476,53
76;29.04.2025 13:30:00;18,59;0,01;0,00;1477,30
77;29.04.2025 14:00:00;19,45;0,01;0,00;1480,02
78;29.04.2025 14:30:00;20,15;0,01;0,00;1482,22
79;29.04.2025 15:00:00;20,85;0,02;0,02;1484,39
80;29.04.2025 15:30:00;22,05;0,02;0,02;1487,97
81;29.04.2025 16:00:00;24,10;0,01;0,00;1493,89
82;29.04.2025 16:30:00;26,13;0,01;0,00;1499,42
83;29.04.2025 17:00:00;28,21;0,01;0,00;1504,82
84;29.04.2025 17:30:00;30,13;0,01;0,00;1509,55
85;29.04.2025 18:00:00;30,01;0,01;0,00;1509,27
86;29.04.2025 18:30:00;30,30;0,01;0,00;1509,97
87;29.04.2025 19:00:00;30,98;0,01;0,00;1511,56
88;29.04.2025 19:30:00;29,75;0,01;0,00;1508,63
89;29.04.2025 20:00:00;26,21;0,02;0,02;1499,66
90;29.04.2025 20:30:00;22,25;0,01;0,00;1488,56
91;29.04.2025 21:00:00;18,65;0,01;0,00;1477,49
92;29.04.2025 21:30:00;15,73;0,01;0,00;1467,73
93;29.04.2025 22:00:00;13,44;0,01;0,00;1459,59
94;29.04.2025 22:30:00;11,69;0,01;0,00;1453,06
95;29.04.2025 23:00:00;10,35;0,01;0,00;1447,88
96;29.04.2025 23:30:00;9,38;0,00;0,00;1444,01
97;30.04.2025 00:00:00;8,62;0,00;0,00;1440,93
98;30.04.2025 00:30:00;8,19;0,00;0,00;1439,16
99;30.04.2025 01:00:00;8,12;0,00;0,00;1438,88
100;30.04.2025 01:30:00;8,19;0,00;0,00;1439,16
101;30.04.2025 02:00:00;8,25;0,00;0,00;1439,43
102;30.04.2025 02:30:00;8,25;0,00;0,00;1439,43
103;30.04.2025 03:00:00;8,22;0,00;0,00;1439,29
104;30.04.2025 03:30:00;8,15;0,00;0,00;1439,02
105;30.04.2025 04:00:00;8,05;0,00;0,00;1438,60
106;30.04.2025 04:30:00;7,88;0,00;0,00;1437,91
107;30.04.2025 05:00:00;7,85;0,00;0,00;1437,77
108;30.04.2025 05:30:00;7,88;0,00;0,00;1437,91
109;30.04.2025 06:00:00;7,98;0,00;0,00;1438,33
110;30.04.2025 06:30:00;8,05;0,00;0,00;1438,60
111;30.04.2025 07:00:00;8,08;0,00;0,00;1438,74
112;30.04.2025 07:30:00;8,19;0,00;0,00;1439,16
113;30.04.2025 08:00:00;8,35;0,00;0,00;1439,84
114;30.04.2025 08:30:00;8,82;0,00;0,00;1441,74
115;30.04.2025 09:00:00;9,64;0,01;0,00;1445,05
116;30.04.2025 09:30:00;10,90;0,01;0,00;1450,01
117;30.04.2025 10:00:00;12,54;0,01;0,00;1456,26
118;30.04.2025 10:30:00;14,24;0,02;0,02;1462,50
119;30.04.2025 11:00:00;15,52;0,01;0,00;1467,00
120;30.04.2025 11:30:00;16,54;0,01;0,00;1470,51
121;30.04.2025 12:00:00;17,29;0,01;0,00;1473,02
122;30.04.2025 12:30:00;17,85;0,01;0,00;1474,89
123;30.04.2025 13:00:00;18,36;0,01;0,00;1476,53
124;30.04.2025 13:30:00;18,86;0,01;0,00;1478,15
125;30.04.2025 14:00:00;19,95;0,02;0,02;1481,59
126;30.04.2025 14:30:00;21,67;0,02;0,02;1486,85
127;30.04.2025 15:00:00;23,61;0,02;0,02;1492,51
128;30.04.2025 15:30:00;25,66;0,01;0,00;1498,18
129;30.04.2025 16:00:00;27,77;0,01;0,00;1503,72
130;30.04.2025 16:30:00;29,92;0,02;0,02;1509,06
131;30.04.2025 17:00:00;31,95;0,01;0,00;1513,81
132;30.04.2025 17:30:00;33,73;0,02;0,00;1517,79
133;30.04.2025 18:00:00;35,20;0,02;0,00;1520,95
134;30.04.2025 18:30:00;35,75;0,02;0,00;1522,09
135;30.04.2025 19:00:00;35,63;0,02;0,00;1521,84
136;30.04.2025 19:30:00;33,19;0,02;0,00;1516,61
137;30.04.2025 20:00:00;28,61;0,01;0,00;1505,84
138;30.04.2025 20:30:00;23,96;0,01;0,00;1493,48
139;30.04.2025 21:00:00;19,98;0,02;0,02;1481,69
140;30.04.2025 21:30:00;16,72;0,01;0,00;1471,12
141;30.04.2025 22:00:00;14,24;0,01;0,00;1462,49
142;30.04.2025 22:30:00;12,35;0,01;0,00;1455,56
143;30.04.2025 23:00:00;11,02;0,01;0,00;1450,50
144;30.04.2025 23:30:00;10,12;0,01;0,00;1446,99
145;01.05.2025 00:00:00;9,54;0,01;0,00;1444,66
146;01.05.2025 00:30:00;9,08;0,00;0,00;1442,81
147;01.05.2025 01:00:00;8,65;0,00;0,00;1441,07
148;01.05.2025 01:30:00;8,19;0,00;0,00;1439,16
149;01.05.2025 02:00:00;7,82;0,00;0,00;1437,63
150;01.05.2025 02:30:00;7,41;0,00;0,00;1435,93
151;01.05.2025 03:00:00;7,07;0,00;0,00;1434,50
152;01.05.2025 03:30:00;6,73;0,00;0,00;1433,05
153;01.05.2025 04:00:00;6,45;0,00;0,00;1431,87
154;01.05.2025 04:30:00;6,21;0,00;0,00;1430,83
155;01.05.2025 05:00:00;6,00;0,00;0,00;1429,92
156;01.05.2025 05:30:00;5,83;0,00;0,00;1429,17
