Number;Date-Time;Temp(°C);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;28.04.2025 00:00:00;18,09;0,02;0,02;1475,68
2;28.04.2025 00:30:00;17,77;0,01;0,00;1474,60
3;28.04.2025 01:00:00;17,44;0,01;0,00;1473,51
4;28.04.2025 01:30:00;17,14;0,01;0,00;1472,52
5;28.04.2025 02:00:00;16,87;0,01;0,00;1471,61
6;28.04.2025 02:30:00;16,57;0,02;0,02;1470,61
7;28.04.2025 03:00:00;16,33;0,01;0,00;1469,77
8;28.04.2025 03:30:00;16,08;0,01;0,00;1468,95
9;28.04.2025 04:00:00;15,87;0,02;0,02;1468,23
10;28.04.2025 04:30:00;15,66;0,01;0,00;1467,49
11;28.04.2025 05:00:00;15,48;0,01;0,00;1466,85
12;28.04.2025 05:30:00;15,26;0,02;0,02;1466,12
13;28.04.2025 06:00:00;15,11;0,01;0,00;1465,57
14;28.04.2025 06:30:00;14,93;0,02;0,02;1464,94
15;28.04.2025 07:00:00;14,77;0,01;0,00;1464,39
16;28.04.2025 07:30:00;14,68;0,01;0,00;1464,06
17;28.04.2025 08:00:00;14,59;0,02;0,02;1463,74
18;28.04.2025 08:30:00;14,50;0,02;0,02;1463,42
19;28.04.2025 09:00:00;14,44;0,02;0,02;1463,20
20;28.04.2025 09:30:00;14,37;0,01;0,00;1462,96
21;28.04.2025 10:00:00;14,37;0,01;0,00;1462,96
22;28.04.2025 10:30:00;14,44;0,01;0,00;1463,18
23;28.04.2025 11:00:00;14,56;0,01;0,00;1463,62
24;28.04.2025 11:30:00;14,68;0,01;0,00;1464,06
25;28.04.2025 12:00:00;14,84;0,02;0,02;1464,61
26;28.04.2025 12:30:00;15,02;0,01;0,00;1465,25
27;28.04.2025 13:00:00;15,14;0,01;0,00;1465,68
28;28.04.2025 13:30:00;15,29;0,01;0,00;1466,21
29;28.04.2025 14:00:00;15,51;0,02;0,02;1466,97
30;28.04.2025 14:30:00;15,72;0,01;0,00;1467,70
31;28.04.2025 15:00:00;15,99;0,01;0,00;1468,64
32;28.04.2025 15:30:00;16,33;0,01;0,00;1469,77
33;28.04.2025 16:00:00;16,48;0,01;0,00;1470,29
34;28.04.2025 16:30:00;16,48;0,01;0,00;1470,29
35;28.04.2025 17:00:00;16,51;0,01;0,00;1470,39
36;28.04.2025 17:30:00;16,51;0,02;0,02;1470,40
37;28.04.2025 18:00:00;16,45;0,01;0,00;1470,19
38;28.04.2025 18:30:00;16,48;0,01;0,00;1470,29
39;28.04.2025 19:00:00;16,57;0,01;0,00;1470,59
40;28.04.2025 19:30:00;16,66;0,02;0,02;1470,91
41;28.04.2025 20:00:00;16,78;0,01;0,00;1471,31
42;28.04.2025 20:30:00;16,84;0,01;0,00;1471,51
43;28.04.2025 21:00:00;16,78;0,01;0,00;1471,31
44;28.04.2025 21:30:00;16,66;0,02;0,02;1470,91
45;28.04.2025 22:00:00;16,54;0,01;0,00;1470,49
46;28.04.2025 22:30:00;16,39;0,01;0,00;1469,98
47;28.04.2025 23:00:00;16,20;0,01;0,00;1469,36
48;28.04.2025 23:30:00;16,02;0,02;0,02;1468,75
49;29.04.2025 00:00:00;15,84;0,01;0,00;1468,11
50;29.04.2025 00:30:00;15,63;0,01;0,00;1467,38
51;29.04.2025 01:00:00;15,45;0,02;0,02;1466,76
52;29.04.2025 01:30:00;15,23;0,01;0,00;1466,00
53;29.04.2025 02:00:00;15,05;0,02;0,02;1465,37
54;29.04.2025 02:30:00;14,84;0,02;0,02;1464,61
55;29.04.2025 03:00:00;14,62;0,02;0,02;1463,85
56;29.04.2025 03:30:00;14,41;0,01;0,00;1463,07
57;29.04.2025 04:00:00;14,19;0,02;0,02;1462,31
58;29.04.2025 04:30:00;13,97;0,02;0,02;1461,54
59;29.04.2025 05:00:00;13,79;0,01;0,00;1460,85
60;29.04.2025 05:30:00;13,63;0,02;0,02;1460,30
61;29.04.2025 06:00:00;13,48;0,01;0,00;1459,72
62;29.04.2025 06:30:00;13,38;0,02;0,02;1459,39
63;29.04.2025 07:00:00;13,26;0,02;0,02;1458,93
64;29.04.2025 07:30:00;13,16;0,02;0,02;1458,59
65;29.04.2025 08:00:00;13,07;0,01;0,00;1458,23
66;29.04.2025 08:30:00;13,04;0,02;0,02;1458,13
67;29.04.2025 09:00:00;13,10;0,02;0,02;1458,36
68;29.04.2025 09:30:00;13,20;0,01;0,00;1458,69
69;29.04.2025 10:00:00;13,35;0,02;0,02;1459,28
70;29.04.2025 10:30:00;13,57;0,02;0,02;1460,07
71;29.04.2025 11:00:00;14,10;0,02;0,02;1461,98
72;29.04.2025 11:30:00;14,68;0,02;0,02;1464,07
73;29.04.2025 12:00:00;15,29;0,02;0,02;1466,23
74;29.04.2025 12:30:00;15,81;0,01;0,00;1468,01
75;29.04.2025 13:00:00;16,27;0,02;0,02;1469,58
76;29.04.2025 13:30:00;16,69;0,02;0,02;1471,01
77;29.04.2025 14:00:00;17,05;0,01;0,00;1472,21
78;29.04.2025 14:30:00;17,32;0,01;0,00;1473,11
79;29.04.2025 15:00:00;17,53;0,01;0,00;1473,81
80;29.04.2025 15:30:00;17,77;0,01;0,00;1474,60
81;29.04.2025 16:00:00;18,00;0,02;0,02;1475,39
82;29.04.2025 16:30:00;18,21;0,01;0,00;1476,06
83;29.04.2025 17:00:00;18,36;0,01;0,00;1476,54
84;29.04.2025 17:30:00;18,51;0,02;0,02;1477,03
85;29.04.2025 18:00:00;18,60;0,01;0,00;1477,31
86;29.04.2025 18:30:00;18,60;0,02;0,02;1477,32
87;29.04.2025 19:00:00;18,54;0,01;0,00;1477,12
88;29.04.2025 19:30:00;18,45;0,01;0,00;1476,83
89;29.04.2025 20:00:00;18,30;0,01;0,00;1476,35
90;29.04.2025 20:30:00;18,12;0,01;0,00;1475,77
91;29.04.2025 21:00:00;17,91;0,01;0,00;1475,09
92;29.04.2025 21:30:00;17,74;0,02;0,02;1474,51
93;29.04.2025 22:00:00;17,59;0,01;0,00;1474,01
94;29.04.2025 22:30:00;17,41;0,02;0,02;1473,42
95;29.04.2025 23:00:00;17,14;0,02;0,02;1472,53
96;29.04.2025 23:30:00;16,87;0,01;0,00;1471,61
97;30.04.2025 00:00:00;16,60;0,02;0,02;1470,71
98;30.04.2025 00:30:00;16,30;0,01;0,00;1469,67
99;30.04.2025 01:00:00;15,99;0,01;0,00;1468,64
100;30.04.2025 01:30:00;15,72;0,01;0,00;1467,70
101;30.04.2025 02:00:00;15,45;0,01;0,00;1466,75
102;30.04.2025 02:30:00;15,20;0,02;0,02;1465,91
103;30.04.2025 03:00:00;14,96;0,02;0,02;1465,05
104;30.04.2025 03:30:00;14,71;0,02;0,02;1464,18
105;30.04.2025 04:00:00;14,47;0,01;0,00;1463,29
106;30.04.2025 04:30:00;14,22;0,01;0,00;1462,41
107;30.04.2025 05:00:00;13,97;0,02;0,02;1461,54
108;30.04.2025 05:30:00;13,72;0,01;0,00;1460,63
109;30.04.2025 06:00:00;13,51;0,02;0,02;1459,85
110;30.04.2025 06:30:00;13,32;0,01;0,00;1459,15
111;30.04.2025 07:00:00;13,16;0,02;0,02;1458,59
112;30.04.2025 07:30:00;13,01;0,01;0,00;1458,00
113;30.04.2025 08:00:00;12,91;0,01;0,00;1457,65
