"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",18.07,0.01,0,1475.59
2,"28-04-2025 00:30:00",17.8,0.01,0,1474.72
3,"28-04-2025 01:00:00",17.54,0.01,0,1473.84
4,"28-04-2025 01:30:00",17.54,0.01,0,1473.84
5,"28-04-2025 02:00:00",17.65,0.01,0,1474.23
6,"28-04-2025 02:30:00",17.83,0.01,0,1474.82
7,"28-04-2025 03:00:00",17.98,0.01,0,1475.3
8,"28-04-2025 03:30:00",18.16,0.01,0,1475.88
9,"28-04-2025 04:00:00",18.31,0.01,0,1476.36
10,"28-04-2025 04:30:00",18.45,0.01,0,1476.84
11,"28-04-2025 05:00:00",18.6,0.01,0,1477.32
12,"28-04-2025 05:30:00",18.72,0.01,0,1477.7
13,"28-04-2025 06:00:00",18.81,0.01,0,1477.98
14,"28-04-2025 06:30:00",18.93,0.01,0,1478.36
15,"28-04-2025 07:00:00",18.96,0.01,0,1478.45
16,"28-04-2025 07:30:00",18.98,0.01,0,1478.55
17,"28-04-2025 08:00:00",18.96,0.01,0,1478.45
18,"28-04-2025 08:30:00",18.93,0.01,0,1478.36
19,"28-04-2025 09:00:00",18.98,0.01,0,1478.55
20,"28-04-2025 09:30:00",19.01,0.01,0,1478.64
21,"28-04-2025 10:00:00",19.04,0.01,0,1478.74
22,"28-04-2025 10:30:00",19.1,0.01,0,1478.92
23,"28-04-2025 11:00:00",19.1,0.01,0,1478.92
24,"28-04-2025 11:30:00",18.84,0.01,0,1478.08
25,"28-04-2025 12:00:00",19.75,0.01,0,1480.96
26,"28-04-2025 12:30:00",21.59,0.01,0,1486.6
27,"28-04-2025 13:00:00",22.43,0.01,0,1489.09
28,"28-04-2025 13:30:00",22.87,0.01,0,1490.36
29,"28-04-2025 14:00:00",23.07,0.01,0,1490.95
30,"28-04-2025 14:30:00",23.24,0.01,0,1491.45
31,"28-04-2025 15:00:00",23.39,0.01,0,1491.86
32,"28-04-2025 15:30:00",23.47,0.01,0,1492.11
33,"28-04-2025 16:00:00",23.53,0.02,0.03,1492.29
34,"28-04-2025 16:30:00",23.56,0.01,0,1492.36
35,"28-04-2025 17:00:00",23.56,0.01,0,1492.36
36,"28-04-2025 17:30:00",23.5,0.01,0,1492.19
37,"28-04-2025 18:00:00",23.42,0.01,0,1491.94
38,"28-04-2025 18:30:00",23.39,0.02,0.03,1491.87
39,"28-04-2025 19:00:00",23.53,0.02,0.03,1492.29
40,"28-04-2025 19:30:00",23.56,0.01,0,1492.36
41,"28-04-2025 20:00:00",23.5,0.01,0,1492.19
42,"28-04-2025 20:30:00",23.45,0.01,0,1492.03
43,"28-04-2025 21:00:00",23.39,0.02,0.03,1491.87
44,"28-04-2025 21:30:00",23.21,0.02,0.03,1491.37
