"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",21.19,0.01,0.01,1485.4
2,"28-04-2025 00:30:00",21.04,0.01,0.01,1484.95
3,"28-04-2025 01:00:00",20.92,0.01,0.01,1484.59
4,"28-04-2025 01:30:00",20.78,0.01,0.01,1484.15
5,"28-04-2025 02:00:00",20.66,0.01,0.01,1483.79
6,"28-04-2025 02:30:00",20.57,0.01,0.01,1483.52
7,"28-04-2025 03:00:00",20.48,0.01,0.01,1483.24
8,"28-04-2025 03:30:00",20.39,0.01,0.01,1482.97
9,"28-04-2025 04:00:00",20.34,0.01,0.01,1482.79
10,"28-04-2025 04:30:00",20.25,0.01,0.01,1482.52
11,"28-04-2025 05:00:00",20.16,0.01,0.01,1482.24
12,"28-04-2025 05:30:00",20.1,0.01,0.01,1482.06
13,"28-04-2025 06:00:00",20.01,0.01,0.01,1481.78
14,"28-04-2025 06:30:00",19.95,0.01,0.01,1481.6
15,"28-04-2025 07:00:00",19.89,0.01,0.01,1481.42
16,"28-04-2025 07:30:00",19.89,0.01,0.01,1481.42
17,"28-04-2025 08:00:00",19.89,0.01,0.01,1481.42
18,"28-04-2025 08:30:00",19.95,0.01,0.01,1481.6
19,"28-04-2025 09:00:00",19.98,0.01,0.01,1481.69
20,"28-04-2025 09:30:00",20.04,0.01,0.01,1481.88
21,"28-04-2025 10:00:00",20.07,0.01,0.01,1481.97
22,"28-04-2025 10:30:00",20.1,0.01,0.01,1482.06
23,"28-04-2025 11:00:00",20.13,0.01,0.01,1482.15
24,"28-04-2025 11:30:00",20.16,0.01,0.01,1482.24
25,"28-04-2025 12:00:00",20.19,0.01,0.01,1482.33
26,"28-04-2025 12:30:00",20.22,0.01,0.01,1482.43
27,"28-04-2025 13:00:00",20.25,0.01,0.01,1482.52
28,"28-04-2025 13:30:00",20.25,0.01,0.01,1482.52
29,"28-04-2025 14:00:00",20.25,0.01,0.01,1482.52
30,"28-04-2025 14:30:00",20.25,0.01,0.01,1482.52
31,"28-04-2025 15:00:00",20.28,0.01,0.01,1482.61
32,"28-04-2025 15:30:00",20.31,0.01,0.01,1482.7
33,"28-04-2025 16:00:00",20.31,0.01,0.01,1482.7
34,"28-04-2025 16:30:00",20.28,0.01,0.01,1482.61
35,"28-04-2025 17:00:00",20.25,0.01,0.01,1482.52
36,"28-04-2025 17:30:00",20.22,0.01,0.01,1482.43
37,"28-04-2025 18:00:00",20.19,0.01,0.01,1482.33
38,"28-04-2025 18:30:00",20.16,0.01,0.01,1482.24
39,"28-04-2025 19:00:00",20.07,0.01,0.01,1481.97
40,"28-04-2025 19:30:00",20.01,0.01,0.01,1481.78
41,"28-04-2025 20:00:00",19.95,0.01,0.01,1481.6
42,"28-04-2025 20:30:00",19.92,0.01,0.01,1481.51
43,"28-04-2025 21:00:00",19.8,0.01,0.01,1481.14
44,"28-04-2025 21:30:00",19.69,0.01,0.01,1480.77
45,"28-04-2025 22:00:00",19.6,0.01,0.01,1480.49
46,"28-04-2025 22:30:00",19.6,0.01,0.01,1480.49
47,"28-04-2025 23:00:00",19.6,0.01,0.01,1480.49
48,"28-04-2025 23:30:00",19.6,0.01,0.01,1480.49
49,"29-04-2025 00:00:00",19.6,0.01,0.01,1480.49
50,"29-04-2025 00:30:00",19.6,0.01,0.01,1480.49
51,"29-04-2025 01:00:00",19.6,0.01,0.01,1480.49
