"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",19.62,0.01,0,1480.56
2,"28-04-2025 00:30:00",19.62,0.01,0,1480.56
3,"28-04-2025 01:00:00",19.59,0.01,0,1480.47
4,"28-04-2025 01:30:00",19.59,0.01,0,1480.47
5,"28-04-2025 02:00:00",19.56,0.01,0,1480.38
6,"28-04-2025 02:30:00",19.53,0.01,0,1480.28
7,"28-04-2025 03:00:00",19.53,0.01,0,1480.28
8,"28-04-2025 03:30:00",19.53,0.01,0,1480.28
9,"28-04-2025 04:00:00",19.5,0.01,0,1480.19
10,"28-04-2025 04:30:00",19.53,0.01,0,1480.28
11,"28-04-2025 05:00:00",19.56,0.01,0,1480.38
12,"28-04-2025 05:30:00",19.59,0.01,0,1480.47
13,"28-04-2025 06:00:00",19.62,0.01,0,1480.56
14,"28-04-2025 06:30:00",19.65,0.01,0,1480.65
15,"28-04-2025 07:00:00",19.86,0.01,0,1481.3
16,"28-04-2025 07:30:00",20,0.01,0,1481.76
17,"28-04-2025 08:00:00",20.15,0.01,0,1482.22
18,"28-04-2025 08:30:00",20.3,0.01,0,1482.67
19,"28-04-2025 09:00:00",20.77,0.01,0,1484.11
20,"28-04-2025 09:30:00",20.24,0.01,0,1482.49
21,"28-04-2025 10:00:00",19.03,0.01,0,1478.69
22,"28-04-2025 10:30:00",18.17,0.01,0,1475.92
23,"28-04-2025 11:00:00",17.45,0.01,0,1473.56
24,"28-04-2025 11:30:00",16.91,0.01,0,1471.76
25,"28-04-2025 12:00:00",16.4,0.01,0,1470.03
26,"28-04-2025 12:30:00",15.76,0.01,0,1467.85
27,"28-04-2025 13:00:00",19.27,0.01,0,1479.44
28,"28-04-2025 13:30:00",21.09,0.01,0,1485.09
29,"28-04-2025 14:00:00",22.14,0.01,0,1488.24
30,"28-04-2025 14:30:00",22.87,0.01,0,1490.36
31,"28-04-2025 15:00:00",22.93,0.01,0,1490.53
32,"28-04-2025 15:30:00",23.27,0.01,0,1491.54
33,"28-04-2025 16:00:00",23.54,0.01,0,1492.28
