"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",20.54,0.01,0,1483.42
2,"28-04-2025 00:30:00",20.25,0.01,0,1482.52
3,"28-04-2025 01:00:00",19.87,0.01,0,1481.34
4,"28-04-2025 01:30:00",19.49,0.01,0,1480.14
5,"28-04-2025 02:00:00",19.22,0.01,0,1479.3
6,"28-04-2025 02:30:00",19.1,0.01,0,1478.92
7,"28-04-2025 03:00:00",19.07,0.01,0,1478.83
8,"28-04-2025 03:30:00",19.07,0.01,0,1478.83
9,"28-04-2025 04:00:00",19.1,0.01,0,1478.92
10,"28-04-2025 04:30:00",19.16,0.01,0,1479.11
11,"28-04-2025 05:00:00",19.22,0.01,0,1479.3
12,"28-04-2025 05:30:00",19.31,0.01,0,1479.58
13,"28-04-2025 06:00:00",19.43,0.01,0,1479.95
14,"28-04-2025 06:30:00",19.54,0.01,0,1480.32
15,"28-04-2025 07:00:00",19.66,0.01,0,1480.69
16,"28-04-2025 07:30:00",19.78,0.01,0,1481.06
17,"28-04-2025 08:00:00",19.9,0.01,0,1481.43
18,"28-04-2025 08:30:00",19.98,0.01,0,1481.7
19,"28-04-2025 09:00:00",20.1,0.01,0,1482.07
20,"28-04-2025 09:30:00",20.22,0.01,0,1482.43
21,"28-04-2025 10:00:00",20.31,0.01,0,1482.7
22,"28-04-2025 10:30:00",20.39,0.01,0,1482.97
23,"28-04-2025 11:00:00",20.48,0.01,0,1483.24
24,"28-04-2025 11:30:00",20.57,0.01,0,1483.51
25,"28-04-2025 12:00:00",20.66,0.01,0,1483.78
26,"28-04-2025 12:30:00",20.75,0.01,0,1484.05
27,"28-04-2025 13:00:00",20.8,0.01,0,1484.23
28,"28-04-2025 13:30:00",20.86,0.01,0,1484.41
29,"28-04-2025 14:00:00",20.92,0.01,0,1484.58
30,"28-04-2025 14:30:00",20.98,0.01,0,1484.76
31,"28-04-2025 15:00:00",21.04,0.01,0,1484.94
32,"28-04-2025 15:30:00",21.07,0.01,0,1485.03
33,"28-04-2025 16:00:00",21.12,0.01,0,1485.2
34,"28-04-2025 16:30:00",21.18,0.01,0,1485.38
35,"28-04-2025 17:00:00",21.24,0.01,0,1485.56
36,"28-04-2025 17:30:00",21.27,0.01,0,1485.64
37,"28-04-2025 18:00:00",21.3,0.01,0,1485.73
38,"28-04-2025 18:30:00",21.33,0.01,0,1485.82
39,"28-04-2025 19:00:00",21.33,0.01,0,1485.82
40,"28-04-2025 19:30:00",21.33,0.01,0,1485.82
41,"28-04-2025 20:00:00",21.33,0.01,0,1485.82
42,"28-04-2025 20:30:00",21.33,0.01,0,1485.82
43,"28-04-2025 21:00:00",21.36,0.01,0,1485.91
44,"28-04-2025 21:30:00",21.33,0.01,0,1485.82
45,"28-04-2025 22:00:00",21.3,0.01,0,1485.73
46,"28-04-2025 22:30:00",21.24,0.01,0,1485.56
47,"28-04-2025 23:00:00",21.18,0.01,0,1485.38
48,"28-04-2025 23:30:00",21.12,0.01,0,1485.2
49,"29-04-2025 00:00:00",21.1,0.01,0,1485.12
50,"29-04-2025 00:30:00",21.04,0.01,0,1484.94
51,"29-04-2025 01:00:00",21.01,0.01,0,1484.85
52,"29-04-2025 01:30:00",20.95,0.01,0,1484.67
53,"29-04-2025 02:00:00",20.92,0.01,0,1484.58
54,"29-04-2025 02:30:00",20.86,0.01,0,1484.41
55,"29-04-2025 03:00:00",20.83,0.01,0,1484.32
56,"29-04-2025 03:30:00",20.83,0.01,0,1484.32
57,"29-04-2025 04:00:00",20.83,0.01,0,1484.32
58,"29-04-2025 04:30:00",20.83,0.01,0,1484.32
59,"29-04-2025 05:00:00",20.83,0.01,0,1484.32
60,"29-04-2025 05:30:00",20.77,0.01,0,1484.14
61,"29-04-2025 06:00:00",20.16,0.01,0,1482.25
62,"29-04-2025 06:30:00",19.4,0.01,0,1479.86
63,"29-04-2025 07:00:00",19.13,0.01,0,1479.02
64,"29-04-2025 07:30:00",18.98,0.01,0,1478.55
65,"29-04-2025 08:00:00",19.01,0.01,0,1478.64
66,"29-04-2025 08:30:00",19.46,0.01,0,1480.04
67,"29-04-2025 09:00:00",19.28,0.01,0,1479.49
68,"29-04-2025 09:30:00",19.04,0.01,0,1478.74
69,"29-04-2025 10:00:00",18.9,0.01,0,1478.27
70,"29-04-2025 10:30:00",18.84,0.01,0,1478.08
71,"29-04-2025 11:00:00",18.78,0.01,0,1477.89
72,"29-04-2025 11:30:00",18.75,0.01,0,1477.79
73,"29-04-2025 12:00:00",18.75,0.01,0,1477.79
74,"29-04-2025 12:30:00",18.75,0.01,0,1477.79
75,"29-04-2025 13:00:00",18.75,0.01,0,1477.79
76,"29-04-2025 13:30:00",18.78,0.01,0,1477.89
77,"29-04-2025 14:00:00",18.78,0.01,0,1477.89
78,"29-04-2025 14:30:00",18.84,0.01,0,1478.08
79,"29-04-2025 15:00:00",18.9,0.01,0,1478.27
80,"29-04-2025 15:30:00",18.96,0.01,0,1478.45
81,"29-04-2025 16:00:00",19.01,0.01,0,1478.64
82,"29-04-2025 16:30:00",19.07,0.01,0,1478.83
83,"29-04-2025 17:00:00",19.16,0.01,0,1479.11
84,"29-04-2025 17:30:00",19.22,0.01,0,1479.3
85,"29-04-2025 18:00:00",19.28,0.01,0,1479.49
86,"29-04-2025 18:30:00",19.34,0.01,0,1479.67
