"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",21.51,0.01,0,1486.35
2,"28-04-2025 00:30:00",21.42,0.01,0,1486.09
3,"28-04-2025 01:00:00",21.33,0.01,0,1485.83
4,"28-04-2025 01:30:00",21.24,0.01,0,1485.57
5,"28-04-2025 02:00:00",21.16,0.01,0,1485.3
6,"28-04-2025 02:30:00",21.07,0.01,0,1485.04
7,"28-04-2025 03:00:00",21.01,0.01,0,1484.86
8,"28-04-2025 03:30:00",20.92,0.01,0,1484.59
9,"28-04-2025 04:00:00",20.87,0.01,0,1484.42
10,"28-04-2025 04:30:00",20.78,0.01,0,1484.15
11,"28-04-2025 05:00:00",20.72,0.01,0,1483.97
12,"28-04-2025 05:30:00",20.63,0.01,0,1483.7
13,"28-04-2025 06:00:00",20.54,0.01,0,1483.43
14,"28-04-2025 06:30:00",20.49,0.01,0,1483.26
15,"28-04-2025 07:00:00",20.43,0.01,0,1483.08
16,"28-04-2025 07:30:00",20.4,0.01,0,1482.99
17,"28-04-2025 08:00:00",20.4,0.01,0,1482.99
18,"28-04-2025 08:30:00",20.43,0.01,0,1483.08
19,"28-04-2025 09:00:00",20.46,0.01,0,1483.17
20,"28-04-2025 09:30:00",20.52,0.01,0,1483.35
21,"28-04-2025 10:00:00",20.54,0.01,0,1483.43
22,"28-04-2025 10:30:00",20.54,0.01,0,1483.43
23,"28-04-2025 11:00:00",20.54,0.01,0,1483.43
24,"28-04-2025 11:30:00",20.57,0.01,0,1483.52
25,"28-04-2025 12:00:00",20.57,0.01,0,1483.52
26,"28-04-2025 12:30:00",20.57,0.01,0,1483.52
27,"28-04-2025 13:00:00",20.54,0.01,0,1483.43
28,"28-04-2025 13:30:00",20.54,0.01,0,1483.43
29,"28-04-2025 14:00:00",20.54,0.01,0,1483.43
30,"28-04-2025 14:30:00",20.52,0.01,0,1483.35
31,"28-04-2025 15:00:00",20.52,0.01,0,1483.35
32,"28-04-2025 15:30:00",20.52,0.01,0,1483.35
33,"28-04-2025 16:00:00",20.49,0.01,0,1483.26
34,"28-04-2025 16:30:00",20.46,0.01,0,1483.17
35,"28-04-2025 17:00:00",20.43,0.01,0,1483.08
36,"28-04-2025 17:30:00",20.4,0.01,0,1482.99
37,"28-04-2025 18:00:00",20.37,0.01,0,1482.9
38,"28-04-2025 18:30:00",20.31,0.01,0,1482.72
39,"28-04-2025 19:00:00",20.25,0.01,0,1482.53
40,"28-04-2025 19:30:00",20.19,0.01,0,1482.35
41,"28-04-2025 20:00:00",20.14,0.01,0,1482.17
42,"28-04-2025 20:30:00",20.11,0.01,0,1482.08
43,"28-04-2025 21:00:00",20.08,0.01,0,1481.99
44,"28-04-2025 21:30:00",19.99,0.01,0,1481.72
45,"28-04-2025 22:00:00",19.93,0.01,0,1481.54
46,"28-04-2025 22:30:00",19.9,0.01,0,1481.44
47,"28-04-2025 23:00:00",19.9,0.01,0,1481.44
48,"28-04-2025 23:30:00",19.87,0.01,0,1481.35
49,"29-04-2025 00:00:00",19.87,0.01,0,1481.35
50,"29-04-2025 00:30:00",19.84,0.01,0,1481.26
51,"29-04-2025 01:00:00",19.84,0.01,0,1481.26
52,"29-04-2025 01:30:00",19.81,0.01,0,1481.17
53,"29-04-2025 02:00:00",19.78,0.01,0,1481.08
54,"29-04-2025 02:30:00",19.81,0.01,0,1481.17
55,"29-04-2025 03:00:00",19.87,0.01,0,1481.35
56,"29-04-2025 03:30:00",19.99,0.01,0,1481.72
57,"29-04-2025 04:00:00",20.08,0.01,0,1481.99
58,"29-04-2025 04:30:00",20.17,0.01,0,1482.26
59,"29-04-2025 05:00:00",20.25,0.01,0,1482.53
60,"29-04-2025 05:30:00",20.31,0.01,0,1482.72
61,"29-04-2025 06:00:00",20.37,0.01,0,1482.9
62,"29-04-2025 06:30:00",20.37,0.01,0,1482.9
63,"29-04-2025 07:00:00",20.37,0.01,0,1482.9
64,"29-04-2025 07:30:00",20.34,0.01,0,1482.81
65,"29-04-2025 08:00:00",20.31,0.01,0,1482.72
66,"29-04-2025 08:30:00",20.28,0.01,0,1482.62
67,"29-04-2025 09:00:00",20.25,0.01,0,1482.53
68,"29-04-2025 09:30:00",20.22,0.01,0,1482.44
69,"29-04-2025 10:00:00",20.19,0.01,0,1482.35
70,"29-04-2025 10:30:00",20.17,0.01,0,1482.26
71,"29-04-2025 11:00:00",20.17,0.01,0,1482.26
72,"29-04-2025 11:30:00",20.19,0.01,0,1482.35
73,"29-04-2025 12:00:00",20.19,0.01,0,1482.35
74,"29-04-2025 12:30:00",20.22,0.01,0,1482.44
75,"29-04-2025 13:00:00",20.22,0.01,0,1482.44
76,"29-04-2025 13:30:00",20.22,0.01,0,1482.44
77,"29-04-2025 14:00:00",20.19,0.01,0,1482.35
78,"29-04-2025 14:30:00",20.19,0.01,0,1482.35
79,"29-04-2025 15:00:00",20.17,0.01,0,1482.26
80,"29-04-2025 15:30:00",20.14,0.01,0,1482.17
81,"29-04-2025 16:00:00",20.11,0.01,0,1482.08
82,"29-04-2025 16:30:00",20.08,0.01,0,1481.99
83,"29-04-2025 17:00:00",20.05,0.01,0,1481.9
84,"29-04-2025 17:30:00",20.02,0.01,0,1481.81
85,"29-04-2025 18:00:00",19.99,0.01,0,1481.72
86,"29-04-2025 18:30:00",19.96,0.01,0,1481.63
87,"29-04-2025 19:00:00",19.9,0.01,0,1481.44
88,"29-04-2025 19:30:00",19.87,0.01,0,1481.35
89,"29-04-2025 20:00:00",19.81,0.01,0,1481.17
90,"29-04-2025 20:30:00",19.78,0.01,0,1481.08
91,"29-04-2025 21:00:00",19.78,0.01,0,1481.08
92,"29-04-2025 21:30:00",19.78,0.01,0,1481.08
93,"29-04-2025 22:00:00",19.76,0.01,0,1480.99
94,"29-04-2025 22:30:00",19.73,0.01,0,1480.89
95,"29-04-2025 23:00:00",19.7,0.01,0,1480.8
96,"29-04-2025 23:30:00",19.64,0.01,0,1480.62
97,"30-04-2025 00:00:00",19.61,0.01,0,1480.53
98,"30-04-2025 00:30:00",19.58,0.01,0,1480.43
99,"30-04-2025 01:00:00",19.52,0.01,0,1480.25
100,"30-04-2025 01:30:00",19.49,0.01,0,1480.16
