"Date","Site","Salinity","Code","lat","lon","Year","Month","Nights_Fished","Hours_Fished","Weather","Subsample","Metacarcinus_magister_megalopae","Metacarcinus_magister_instar","TotalMmagister","CPUE_Night","CPUE_Hour","Error_Code","week","loc.lat"
2025-05-11,"Indian Arm",15.8275,"IND",49.461387,-122.88625,"2025","May",2,17,"Sunny,Windy","N",0,0,0,0,0,"None",19,"Indian Arm"
2025-05-11,"Port Moody",20.7391666666667,"MOO",49.30056,-122.87578,"2025","May",1,9.5,"Overcast","N",0,0,0,0,0,"None",19,"Port Moody"
2025-05-11,"Silva Bay",26.1214583333333,"SIL",49.149062,-123.69713,"2025","May",1,9.5,"Sunny","N",0,0,0,0,0,"None",19,"Silva Bay"
2025-05-11,"Whaler Bay",26.5870833333333,"WHA",48.884619,-123.32731,"2025","May",2,19,"Sunny,Overcast","N",0,0,0,0,0,"None",19,"Whaler Bay"
2025-05-12,"Pender Harbour",26.0483333333333,"PDH",49.623357,-124.02568,"2025","May",1,9.5,"Sunny,Windy","N",1,0,1,1,0.105263158,"None",19,"Pender Harbour"
2025-05-12,"Quathiaski Cove",28.6370833333333,"QUA",50.042604,-125.21604,"2025","May",2,19,"Sunny","N",0,0,0,0,0,"None",19,"Quathiaski Cove"
2025-05-13,"Echo Bay",27.945,"ECH",50.745688,-126.499202,"2025","May",2,19,"Windy","N",0,0,0,0,0,"None",19,"Echo Bay"
2025-05-13,"Ford Cove",28.0575,"FOR",49.497028,-124.67667,"2025","May",1,4,"Sunny","N",0,0,0,0,0,"HRS",19,"Ford Cove"
2025-05-13,"Indian Arm",11.6408333333333,"IND",49.461387,-122.88625,"2025","May",2,17,"Overcast,Windy","N",0,0,0,0,0,"None",19,"Indian Arm"
2025-05-13,"Port Moody",20.7452083333333,"MOO",49.30056,-122.87578,"2025","May",2,18,"Windy,Overcast,Sunny","N",0,0,0,0,0,"None",19,"Port Moody"
2025-05-13,"Silva Bay",23.2629166666667,"SIL",49.149062,-123.69713,"2025","May",2,19,"Overcast,Windy","N",0,0,0,0,0,"None",19,"Silva Bay"
2025-05-13,"Whaler Bay",19.8785416666667,"WHA",48.884619,-123.32731,"2025","May",2,19,"Overcast","N",0,0,0,0,0,"None",19,"Whaler Bay"
2025-05-14,"Daajing Giids",31.1320833333333,"DAA",53.252061,-132.07252,"2025","May",2,16,"Overcast","N",0,0,0,0,0,"None",20,"Daajing Giids"
2025-05-14,"Pender Harbour",23.9991666666667,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Sunny","N",0,0,0,0,0,"None",20,"Pender Harbour"
2025-05-14,"Quathiaski Cove",27.8129166666667,"QUA",50.042604,-125.21604,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",20,"Quathiaski Cove"
2025-05-14,"Tofino",23.6902083333333,"TOF",49.151969,-125.89702,"2025","May",2,17,"Sunny,Windy","N",30,0,30,15,1.764705882,"None",20,"Tofino"
2025-05-15,"Echo Bay",28.5677083333333,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",20,"Echo Bay"
2025-05-15,"Ford Cove",27.951875,"FOR",49.497028,-124.67667,"2025","May",1,4,"Overcast","N",0,0,0,0,0,"HRS",20,"Ford Cove"
2025-05-15,"Quathiaski Cove",27.8483333333333,"QUA",50.042604,-125.21604,"2025","May",1,8.5,"Overcast","N",0,0,0,0,0,"None",20,"Quathiaski Cove"
2025-05-15,"Silva Bay",26.8914583333333,"SIL",49.149062,-123.69713,"2025","May",2,17,"Rain,Windy","N",0,0,0,0,0,"None",20,"Silva Bay"
2025-05-15,"Whaler Bay",22.28375,"WHA",48.884619,-123.32731,"2025","May",2,17,"Rain","N",0,0,0,0,0,"None",20,"Whaler Bay"
2025-05-16,"Daajing Giids",30.8470833333333,"DAA",53.252061,-132.07252,"2025","May",2,16,"Rain,Overcast","N",0,0,0,0,0,"None",20,"Daajing Giids"
2025-05-16,"Pender Harbour",23.2729166666667,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Rain","N",0,0,0,0,0,"None",20,"Pender Harbour"
2025-05-16,"Port Moody",22.4116666666667,"MOO",49.30056,-122.87578,"2025","May",2,17,"Rain,Overcast","N",0,0,0,0,0,"None",20,"Port Moody"
2025-05-16,"Quathiaski Cove",27.9520833333333,"QUA",50.042604,-125.21604,"2025","May",1,8.5,"Rain","N",0,0,0,0,0,"None",20,"Quathiaski Cove"
2025-05-16,"Tofino",23.82,"TOF",49.151969,-125.89702,"2025","May",2,17,"Rain","N",5,5,10,5,0.588235294,"None",20,"Tofino"
2025-05-17,"Echo Bay",25.894375,"ECH",50.745688,-126.499202,"2025","May",2,17,"Rain","N",0,0,0,0,0,"None",20,"Echo Bay"
2025-05-17,"Hope Bay",28.538125,"HOP",48.803253,-123.27521,"2025","May",1,8.5,"Overcast","N",0,0,0,0,0,"None",20,"Hope Bay"
2025-05-17,"Indian Arm",11.059375,"IND",49.461387,-122.88625,"2025","May",3,30,"Rain,Windy","N",0,0,0,0,0,"BAT",20,"Indian Arm"
2025-05-17,"Silva Bay",27.7670833333333,"SIL",49.149062,-123.69713,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",20,"Silva Bay"
2025-05-17,"Whaler Bay",25.491875,"WHA",48.884619,-123.32731,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",20,"Whaler Bay"
2025-05-18,"Port Moody",21.476875,"MOO",49.30056,-122.87578,"2025","May",1,8.5,"Overcast","N",0,0,0,0,0,"None",20,"Port Moody"
2025-05-18,"Silva Bay",23.25,"SIL",49.149062,-123.69713,"2025","May",1,8.5,"Sunny","N",0,0,0,0,0,"None",20,"Silva Bay"
2025-05-19,"Echo Bay",26.8435416666667,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",20,"Echo Bay"
2025-05-19,"Indian Arm",14.6654166666667,"IND",49.461387,-122.88625,"2025","May",2,17,"Rain","N",0,0,0,0,0,"None",20,"Indian Arm"
2025-05-19,"Tofino",23.5272916666667,"TOF",49.151969,-125.89702,"2025","May",2,17,"Overcast","Y",2273.939394,37,2310.939394,1155.469697,135.9376114,"None",20,"Tofino"
2025-05-19,"Whaler Bay",24.194375,"WHA",48.884619,-123.32731,"2025","May",2,17,"Overcast,Windy","N",0,0,0,0,0,"None",20,"Whaler Bay"
2025-05-20,"Daajing Giids",28.5939583333333,"DAA",53.252061,-132.07252,"2025","May",2,15,"Rain","N",0,0,0,0,0,"None",20,"Daajing Giids"
2025-05-20,"Ford Cove",28.5447916666667,"FOR",49.497028,-124.67667,"2025","May",1,4,"Overcast","N",0,0,0,0,0,"HRS",20,"Ford Cove"
2025-05-20,"Hope Bay",28.3925,"HOP",48.803253,-123.27521,"2025","May",1,8.5,"Overcast","N",0,0,0,0,0,"None",20,"Hope Bay"
2025-05-20,"Pender Harbour",23.4945833333333,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Sunny,Overcast,Windy","N",0,0,0,0,0,"None",20,"Pender Harbour"
2025-05-20,"Port Moody",21.2002083333333,"MOO",49.30056,-122.87578,"2025","May",2,17,"Rain,Overcast","N",0,0,0,0,0,"None",20,"Port Moody"
2025-05-20,"Quathiaski Cove",27.6308333333333,"QUA",50.042604,-125.21604,"2025","May",3,25.5,"Overcast","N",0,0,0,0,0,"None",20,"Quathiaski Cove"
2025-05-20,"Silva Bay",27.4670833333333,"SIL",49.149062,-123.69713,"2025","May",2,17,"Rain,Overcast","N",0,0,0,0,0,"None",20,"Silva Bay"
2025-05-21,"Echo Bay",22.609375,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Echo Bay"
