instrument_manufacturer,instrument_model,instrument_sn,station,deployment_time,retrieval_time,comment,correction
Onset,Tidbit MX2239,21234321,descanso_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2240,21234340,victoria_gorge,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2241,21234320,heather_marina,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2242,21234297,hope_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2243,21255264,horseshoe_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2244,21234331,indian_arm,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2245,21234312,james_island_pier,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,lost,
Onset,Tidbit MX2246,21291011,masset,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2247,21234295,miners_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2248,21234309,PBS,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2249,21255263,pender_harbour,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2250,21234351,alberni_inlet,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2251,21291009,prince_rupert,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2252,21234350,PSEC,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,lost,
Onset,Tidbit MX2253,21234352,quathiaski_cove,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2254,21291013,retreat_cove,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2255,21234302,silva_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2256,21255265,sooke,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,lost,
Onset,Tidbit MX2257,21234299,tofino,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
Onset,Tidbit MX2258,21291012,victoria_innerharbour,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2259,21234311,whaler_bay,2024-04-15T12:00:00 -07:00,2024-09-01T00:00:00 -07:00,not yet returned,
