Site,Date,Time,Temperature_C
PBS,16/04/2022,1:10:00,16.56
PBS,16/04/2022,1:20:00,16.57
PBS,16/04/2022,1:30:00,16.63
PBS,16/04/2022,1:40:00,16.64
PBS,16/04/2022,1:50:00,16.7
PBS,16/04/2022,2:00:00,16.75
PBS,16/04/2022,2:10:00,16.8
PBS,16/04/2022,2:20:00,16.87
PBS,16/04/2022,2:30:00,16.91
PBS,16/04/2022,2:40:00,17.03
PBS,16/04/2022,2:50:00,17.09
PBS,16/04/2022,3:00:00,17.16
PBS,16/04/2022,3:10:00,17.3
PBS,16/04/2022,3:20:00,17.38
PBS,16/04/2022,3:30:00,17.49
PBS,16/04/2022,3:40:00,17.6
PBS,16/04/2022,3:50:00,17.77
PBS,16/04/2022,4:00:00,18.13
PBS,16/04/2022,4:10:00,18.5
PBS,16/04/2022,4:20:00,18.68
PBS,16/04/2022,4:30:00,18.82
PBS,16/04/2022,4:40:00,19.01
PBS,16/04/2022,4:50:00,19.36
PBS,16/04/2022,5:00:00,19.81
PBS,16/04/2022,5:10:00,20.25
PBS,16/04/2022,5:20:00,20.58
PBS,16/04/2022,5:30:00,20.59
PBS,16/04/2022,5:40:00,20.45
PBS,16/04/2022,5:50:00,20.24
PBS,16/04/2022,6:00:00,20.06
PBS,16/04/2022,6:10:00,19.89
PBS,16/04/2022,6:20:00,19.75
PBS,16/04/2022,6:30:00,19.62
PBS,16/04/2022,6:40:00,19.57
PBS,16/04/2022,6:50:00,19.52
PBS,16/04/2022,7:00:00,19.44
PBS,16/04/2022,7:10:00,19.37
PBS,16/04/2022,7:20:00,19.27
PBS,16/04/2022,7:30:00,19.21
PBS,16/04/2022,7:40:00,19.14
PBS,16/04/2022,7:50:00,19.09
PBS,16/04/2022,8:00:00,19
PBS,16/04/2022,8:10:00,18.96
PBS,16/04/2022,8:20:00,18.91
PBS,16/04/2022,8:30:00,18.84
PBS,16/04/2022,8:40:00,18.77
PBS,16/04/2022,8:50:00,18.7
PBS,16/04/2022,9:00:00,18.68
PBS,16/04/2022,9:10:00,18.61
PBS,16/04/2022,9:20:00,18.56
PBS,16/04/2022,9:30:00,18.52
PBS,16/04/2022,9:40:00,18.48
PBS,16/04/2022,9:50:00,18.43
PBS,16/04/2022,10:00:00,18.42
PBS,16/04/2022,10:10:00,18.36
PBS,16/04/2022,10:20:00,18.3
PBS,16/04/2022,10:30:00,18.25
PBS,16/04/2022,10:40:00,18.22
PBS,16/04/2022,10:50:00,18.18
PBS,16/04/2022,11:00:00,18.1
PBS,16/04/2022,11:10:00,18.06
PBS,16/04/2022,11:20:00,18.02
PBS,16/04/2022,11:30:00,17.96
PBS,16/04/2022,11:40:00,17.92
PBS,16/04/2022,11:50:00,17.87
PBS,17/04/2022,12:00:00,17.85
PBS,17/04/2022,12:10:00,17.82
PBS,17/04/2022,12:20:00,17.76
PBS,17/04/2022,12:30:00,17.7
PBS,17/04/2022,12:40:00,17.65
PBS,17/04/2022,12:50:00,17.63
PBS,17/04/2022,1:00:00,17.6
PBS,17/04/2022,1:10:00,17.53
PBS,17/04/2022,1:20:00,17.51
PBS,17/04/2022,1:30:00,17.46
PBS,17/04/2022,1:40:00,17.44
PBS,17/04/2022,1:50:00,17.41
PBS,17/04/2022,2:00:00,17.37
PBS,17/04/2022,2:10:00,17.37
PBS,17/04/2022,2:20:00,17.29
PBS,17/04/2022,2:30:00,17.28
PBS,17/04/2022,2:40:00,17.22
PBS,17/04/2022,2:50:00,17.19
PBS,17/04/2022,3:00:00,17.14
PBS,17/04/2022,3:10:00,17.13
PBS,17/04/2022,3:20:00,17.08
PBS,17/04/2022,3:30:00,17.05
PBS,17/04/2022,3:40:00,17.02
PBS,17/04/2022,3:50:00,17
PBS,17/04/2022,4:00:00,16.93
PBS,17/04/2022,4:10:00,16.9
PBS,17/04/2022,4:20:00,16.86
PBS,17/04/2022,4:30:00,16.86
PBS,17/04/2022,4:40:00,16.8
PBS,17/04/2022,4:50:00,16.78
PBS,17/04/2022,5:00:00,16.76
PBS,17/04/2022,5:10:00,16.74
PBS,17/04/2022,5:20:00,16.7
PBS,17/04/2022,5:30:00,16.63
PBS,17/04/2022,5:40:00,16.63
PBS,17/04/2022,5:50:00,16.6
PBS,17/04/2022,6:00:00,16.59
PBS,17/04/2022,6:10:00,16.58
PBS,17/04/2022,6:20:00,16.55
PBS,17/04/2022,6:30:00,16.55
PBS,17/04/2022,6:40:00,16.49
PBS,17/04/2022,6:50:00,16.47
PBS,17/04/2022,7:00:00,16.45
PBS,17/04/2022,7:10:00,16.43
PBS,17/04/2022,7:20:00,16.42
PBS,17/04/2022,7:30:00,16.42
PBS,17/04/2022,7:40:00,16.41
PBS,17/04/2022,7:50:00,16.36
PBS,17/04/2022,8:00:00,16.34
PBS,17/04/2022,8:10:00,16.33
PBS,17/04/2022,8:20:00,16.32
PBS,17/04/2022,8:30:00,16.3
PBS,17/04/2022,8:40:00,16.31
PBS,17/04/2022,8:50:00,16.32
PBS,17/04/2022,9:00:00,16.32
PBS,17/04/2022,9:10:00,16.36
PBS,17/04/2022,9:20:00,16.33
PBS,17/04/2022,9:30:00,16.36
PBS,17/04/2022,9:40:00,16.37
PBS,17/04/2022,9:50:00,16.39
PBS,17/04/2022,10:00:00,16.37
PBS,17/04/2022,10:10:00,16.42
PBS,17/04/2022,10:20:00,16.44
PBS,17/04/2022,10:30:00,16.44
PBS,17/04/2022,10:40:00,16.46
PBS,17/04/2022,10:50:00,16.49
PBS,17/04/2022,11:00:00,16.49
PBS,17/04/2022,11:10:00,16.54
PBS,17/04/2022,11:20:00,16.56
PBS,17/04/2022,11:30:00,16.6
PBS,17/04/2022,11:40:00,16.63
PBS,17/04/2022,11:50:00,16.65
PBS,17/04/2022,12:00:00,16.67
PBS,17/04/2022,12:10:00,16.66
PBS,17/04/2022,12:20:00,16.71
PBS,17/04/2022,12:30:00,16.73
PBS,17/04/2022,12:40:00,16.78
PBS,17/04/2022,12:50:00,16.86
PBS,17/04/2022,1:00:00,16.87
PBS,17/04/2022,1:10:00,16.94
PBS,17/04/2022,1:20:00,16.98
PBS,17/04/2022,1:30:00,17.04
PBS,17/04/2022,1:40:00,17.09
PBS,17/04/2022,1:50:00,17.16
PBS,17/04/2022,2:00:00,17.23
PBS,17/04/2022,2:10:00,17.32
PBS,17/04/2022,2:20:00,17.38
PBS,17/04/2022,2:30:00,17.49
PBS,17/04/2022,2:40:00,17.58
PBS,17/04/2022,2:50:00,17.66
PBS,17/04/2022,3:00:00,17.74
PBS,17/04/2022,3:10:00,17.82
PBS,17/04/2022,3:20:00,17.9
PBS,17/04/2022,3:30:00,17.97
PBS,17/04/2022,3:40:00,18.06
PBS,17/04/2022,3:50:00,18.15
PBS,17/04/2022,4:00:00,18.34
PBS,17/04/2022,4:10:00,18.63
PBS,17/04/2022,4:20:00,18.72
PBS,17/04/2022,4:30:00,18.88
PBS,17/04/2022,4:40:00,19.06
PBS,17/04/2022,4:50:00,19.17
PBS,17/04/2022,5:00:00,19.24
PBS,17/04/2022,5:10:00,19.33
PBS,17/04/2022,5:20:00,19.58
