"Plot Title: 21153572_cortes"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21153572, SEN S/N: 21153572)","Stopped (LGR S/N: 21153572, SEN S/N: 21153572)","End Of File (LGR S/N: 21153572, SEN S/N: 21153572)"
1,04/15/22 12:00:00  PM,9.64,,
2,04/15/22 12:10:00  PM,9.86,,
3,04/15/22 12:20:00  PM,9.84,,
4,04/15/22 12:30:00  PM,9.74,,
5,04/15/22 12:40:00  PM,9.86,,
6,04/15/22 12:50:00  PM,9.82,,
7,04/15/22 01:00:00  PM,9.80,,
8,04/15/22 01:10:00  PM,9.91,,
9,04/15/22 01:20:00  PM,9.86,,
10,04/15/22 01:30:00  PM,9.84,,
11,04/15/22 01:40:00  PM,9.98,,
12,04/15/22 01:50:00  PM,10.05,,
13,04/15/22 02:00:00  PM,10.28,,
14,04/15/22 02:10:00  PM,10.48,,
15,04/15/22 02:20:00  PM,10.34,,
16,04/15/22 02:30:00  PM,10.28,,
17,04/15/22 02:40:00  PM,10.28,,
18,04/15/22 02:50:00  PM,10.08,,
19,04/15/22 03:00:00  PM,10.01,,
20,04/15/22 03:10:00  PM,9.98,,
21,04/15/22 03:20:00  PM,10.11,,
22,04/15/22 03:30:00  PM,10.33,,
23,04/15/22 03:40:00  PM,10.51,,
24,04/15/22 03:50:00  PM,10.31,,
25,04/15/22 04:00:00  PM,10.39,,
26,04/15/22 04:10:00  PM,10.36,,
27,04/15/22 04:20:00  PM,10.10,,
28,04/15/22 04:30:00  PM,10.09,,
29,04/15/22 04:40:00  PM,10.28,,
30,04/15/22 04:50:00  PM,10.20,,
31,04/15/22 05:00:00  PM,10.05,,
32,04/15/22 05:10:00  PM,9.85,,
33,04/15/22 05:20:00  PM,9.79,,
34,04/15/22 05:30:00  PM,9.81,,
35,04/15/22 05:40:00  PM,9.69,,
36,04/15/22 05:50:00  PM,9.63,,
37,04/15/22 06:00:00  PM,9.60,,
38,04/15/22 06:10:00  PM,9.55,,
39,04/15/22 06:20:00  PM,9.51,,
40,04/15/22 06:30:00  PM,9.52,,
41,04/15/22 06:40:00  PM,9.48,,
42,04/15/22 06:50:00  PM,9.49,,
43,04/15/22 07:00:00  PM,9.47,,
44,04/15/22 07:10:00  PM,9.46,,
45,04/15/22 07:20:00  PM,9.46,,
46,04/15/22 07:30:00  PM,9.34,,
47,04/15/22 07:40:00  PM,9.29,,
48,04/15/22 07:50:00  PM,9.27,,
49,04/15/22 08:00:00  PM,9.25,,
50,04/15/22 08:10:00  PM,9.27,,
51,04/15/22 08:20:00  PM,9.29,,
52,04/15/22 08:30:00  PM,9.24,,
53,04/15/22 08:40:00  PM,9.26,,
54,04/15/22 08:50:00  PM,9.25,,
55,04/15/22 09:00:00  PM,9.26,,
56,04/15/22 09:10:00  PM,9.25,,
57,04/15/22 09:20:00  PM,9.36,,
58,04/15/22 09:30:00  PM,9.42,,
59,04/15/22 09:40:00  PM,9.44,,
60,04/15/22 09:50:00  PM,9.42,,
61,04/15/22 10:00:00  PM,9.44,,
62,04/15/22 10:10:00  PM,9.39,,
63,04/15/22 10:20:00  PM,9.44,,
64,04/15/22 10:30:00  PM,9.45,,
65,04/15/22 10:40:00  PM,9.45,,
66,04/15/22 10:50:00  PM,9.45,,
67,04/15/22 11:00:00  PM,9.42,,
68,04/15/22 11:10:00  PM,9.46,,
69,04/15/22 11:20:00  PM,9.47,,
70,04/15/22 11:30:00  PM,9.48,,
71,04/15/22 11:40:00  PM,9.48,,
72,04/15/22 11:50:00  PM,9.49,,
73,04/16/22 12:00:00  AM,9.54,,
74,04/16/22 12:10:00  AM,9.53,,
75,04/16/22 12:20:00  AM,9.52,,
76,04/16/22 12:30:00  AM,9.49,,
77,04/16/22 12:40:00  AM,9.55,,
78,04/16/22 12:50:00  AM,9.57,,
79,04/16/22 01:00:00  AM,9.59,,
80,04/16/22 01:10:00  AM,9.56,,
81,04/16/22 01:20:00  AM,9.53,,
82,04/16/22 01:30:00  AM,9.53,,
83,04/16/22 01:40:00  AM,9.55,,
84,04/16/22 01:50:00  AM,9.51,,
85,04/16/22 02:00:00  AM,9.49,,
86,04/16/22 02:10:00  AM,9.49,,
87,04/16/22 02:20:00  AM,9.49,,
88,04/16/22 02:30:00  AM,9.46,,
89,04/16/22 02:40:00  AM,9.41,,
90,04/16/22 02:50:00  AM,9.40,,
91,04/16/22 03:00:00  AM,9.35,,
92,04/16/22 03:10:00  AM,9.34,,
