"Plot Title: 21234311_PBS"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21234311)","Stopped (LGR S/N: 21234311)","End Of File (LGR S/N: 21234311)"
1,23/04/15 12:00:00,9.25,,
2,23/04/15 12:10:00,9.26,,
3,23/04/15 12:20:00,9.27,,
4,23/04/15 12:30:00,9.27,,
5,23/04/15 12:40:00,9.29,,
6,23/04/15 12:50:00,9.27,,
7,23/04/15 13:00:00,9.27,,
8,23/04/15 13:10:00,9.30,,
9,23/04/15 13:20:00,9.34,,
10,23/04/15 13:30:00,9.36,,
11,23/04/15 13:40:00,9.41,,
12,23/04/15 13:50:00,9.45,,
13,23/04/15 14:00:00,9.44,,
14,23/04/15 14:10:00,9.46,,
15,23/04/15 14:20:00,9.47,,
16,23/04/15 14:30:00,9.49,,
17,23/04/15 14:40:00,9.48,,
18,23/04/15 14:50:00,9.49,,
19,23/04/15 15:00:00,9.51,,
20,23/04/15 15:10:00,9.52,,
21,23/04/15 15:20:00,9.52,,
22,23/04/15 15:30:00,9.51,,
23,23/04/15 15:40:00,9.55,,
24,23/04/15 15:50:00,9.56,,
25,23/04/15 16:00:00,9.51,,
26,23/04/15 16:10:00,9.51,,
27,23/04/15 16:20:00,9.55,,
28,23/04/15 16:30:00,9.59,,
29,23/04/15 16:40:00,9.60,,
30,23/04/15 16:50:00,9.59,,
31,23/04/15 17:00:00,9.64,,
32,23/04/15 17:10:00,9.66,,
33,23/04/15 17:20:00,9.63,,
34,23/04/15 17:30:00,9.66,,
35,23/04/15 17:40:00,9.65,,
36,23/04/15 17:50:00,9.65,,
37,23/04/15 18:00:00,9.63,,
38,23/04/15 18:10:00,9.64,,
39,23/04/15 18:20:00,9.63,,
40,23/04/15 18:30:00,9.63,,
41,23/04/15 18:40:00,9.63,,
42,23/04/15 18:50:00,9.64,,
43,23/04/15 19:00:00,9.64,,
44,23/04/15 19:10:00,9.62,,
45,23/04/15 19:20:00,9.62,,
46,23/04/15 19:30:00,9.60,,
47,23/04/15 19:40:00,9.59,,
48,23/04/15 19:50:00,9.57,,
49,23/04/15 20:00:00,9.57,,
50,23/04/15 20:10:00,9.57,,
51,23/04/15 20:20:00,9.55,,
52,23/04/15 20:30:00,9.54,,
53,23/04/15 20:40:00,9.51,,
54,23/04/15 20:50:00,9.51,,
55,23/04/15 21:00:00,9.51,,
56,23/04/15 21:10:00,9.50,,
57,23/04/15 21:20:00,9.50,,
58,23/04/15 21:30:00,9.48,,
59,23/04/15 21:40:00,9.47,,
60,23/04/15 21:50:00,9.42,,
61,23/04/15 22:00:00,9.45,,
62,23/04/15 22:10:00,9.42,,
63,23/04/15 22:20:00,9.41,,
64,23/04/15 22:30:00,9.39,,
65,23/04/15 22:40:00,9.39,,
66,23/04/15 22:50:00,9.35,,
67,23/04/15 23:00:00,9.37,,
68,23/04/15 23:10:00,9.36,,
69,23/04/15 23:20:00,9.32,,
70,23/04/15 23:30:00,9.25,,
71,23/04/15 23:40:00,9.24,,
72,23/04/15 23:50:00,9.26,,
73,23/04/16 00:00:00,9.26,,
74,23/04/16 00:10:00,9.25,,
75,23/04/16 00:20:00,9.24,,
76,23/04/16 00:30:00,9.21,,
77,23/04/16 00:40:00,9.19,,
78,23/04/16 00:50:00,9.18,,
79,23/04/16 01:00:00,9.14,,
80,23/04/16 01:10:00,9.14,,
81,23/04/16 01:20:00,9.16,,
82,23/04/16 01:30:00,9.18,,
83,23/04/16 01:40:00,9.14,,
84,23/04/16 01:50:00,9.11,,
85,23/04/16 02:00:00,9.11,,
86,23/04/16 02:10:00,9.10,,
87,23/04/16 02:20:00,9.09,,
88,23/04/16 02:30:00,9.09,,
89,23/04/16 02:40:00,9.08,,
90,23/04/16 02:50:00,9.07,,
91,23/04/16 03:00:00,9.09,,
92,23/04/16 03:10:00,9.07,,
93,23/04/16 03:20:00,9.09,,
94,23/04/16 03:30:00,9.06,,
95,23/04/16 03:40:00,9.07,,
96,23/04/16 03:50:00,9.07,,
97,23/04/16 04:00:00,9.05,,
98,23/04/16 04:10:00,9.05,,
99,23/04/16 04:20:00,9.05,,
100,23/04/16 04:30:00,9.03,,
101,23/04/16 04:40:00,9.01,,
102,23/04/16 04:50:00,9.04,,
103,23/04/16 05:00:00,9.02,,
104,23/04/16 05:10:00,9.00,,
105,23/04/16 05:20:00,8.98,,
106,23/04/16 05:30:00,9.00,,
107,23/04/16 05:40:00,9.01,,
108,23/04/16 05:50:00,8.97,,
109,23/04/16 06:00:00,8.97,,
110,23/04/16 06:10:00,8.96,,
111,23/04/16 06:20:00,8.96,,
112,23/04/16 06:30:00,9.00,,
113,23/04/16 06:40:00,8.98,,
114,23/04/16 06:50:00,8.96,,
115,23/04/16 07:00:00,8.96,,
116,23/04/16 07:10:00,8.97,,
117,23/04/16 07:20:00,8.97,,
118,23/04/16 07:30:00,8.95,,
119,23/04/16 07:40:00,8.98,,
120,23/04/16 07:50:00,8.96,,
121,23/04/16 08:00:00,8.94,,
122,23/04/16 08:10:00,8.93,,
123,23/04/16 08:20:00,8.95,,
124,23/04/16 08:30:00,8.93,,
125,23/04/16 08:40:00,8.94,,
126,23/04/16 08:50:00,8.94,,
127,23/04/16 09:00:00,8.96,,
128,23/04/16 09:10:00,8.97,,
129,23/04/16 09:20:00,8.98,,
130,23/04/16 09:30:00,8.98,,
131,23/04/16 09:40:00,9.01,,
132,23/04/16 09:50:00,8.98,,
133,23/04/16 10:00:00,9.00,,
134,23/04/16 10:10:00,9.02,,
135,23/04/16 10:20:00,9.01,,
136,23/04/16 10:30:00,8.98,,
137,23/04/16 10:40:00,9.04,,
138,23/04/16 10:50:00,9.00,,
139,23/04/16 11:00:00,9.01,,
140,23/04/16 11:10:00,9.03,,
141,23/04/16 11:20:00,9.03,,
142,23/04/16 11:30:00,9.04,,
143,23/04/16 11:40:00,9.06,,
144,23/04/16 11:50:00,9.07,,
145,23/04/16 12:00:00,9.07,,
146,23/04/16 12:10:00,9.09,,
147,23/04/16 12:20:00,9.10,,
148,23/04/16 12:30:00,9.14,,
149,23/04/16 12:40:00,9.15,,
150,23/04/16 12:50:00,9.19,,
151,23/04/16 13:00:00,9.18,,
152,23/04/16 13:10:00,9.17,,
153,23/04/16 13:20:00,9.21,,
154,23/04/16 13:30:00,9.21,,
155,23/04/16 13:40:00,9.20,,
156,23/04/16 13:50:00,9.22,,
157,23/04/16 14:00:00,9.18,,
158,23/04/16 14:10:00,9.20,,
159,23/04/16 14:20:00,9.21,,
160,23/04/16 14:30:00,9.24,,
161,23/04/16 14:40:00,9.26,,
162,23/04/16 14:50:00,9.32,,
163,23/04/16 15:00:00,9.38,,
164,23/04/16 15:10:00,9.41,,
165,23/04/16 15:20:00,9.42,,
166,23/04/16 15:30:00,9.45,,
167,23/04/16 15:40:00,9.49,,
168,23/04/16 15:50:00,9.52,,
169,23/04/16 16:00:00,9.53,,
170,23/04/16 16:10:00,9.50,,
171,23/04/16 16:20:00,9.49,,
172,23/04/16 16:30:00,9.53,,
173,23/04/16 16:40:00,9.54,,
174,23/04/16 16:50:00,9.53,,
175,23/04/16 17:00:00,9.48,,
176,23/04/16 17:10:00,9.48,,
177,23/04/16 17:20:00,9.45,,
178,23/04/16 17:30:00,9.51,,
179,23/04/16 17:40:00,9.48,,
180,23/04/16 17:50:00,9.52,,
181,23/04/16 18:00:00,9.54,,
182,23/04/16 18:10:00,9.55,,
183,23/04/16 18:20:00,9.53,,
184,23/04/16 18:30:00,9.56,,
185,23/04/16 18:40:00,9.52,,
186,23/04/16 18:50:00,9.49,,
187,23/04/16 19:00:00,9.37,,
188,23/04/16 19:10:00,9.20,,
189,23/04/16 19:20:00,9.07,,
190,23/04/16 19:30:00,9.17,,
191,23/04/16 19:40:00,9.29,,
192,23/04/16 19:50:00,9.27,,
193,23/04/16 20:00:00,9.20,,
194,23/04/16 20:10:00,9.15,,
195,23/04/16 20:20:00,9.11,,
196,23/04/16 20:30:00,9.02,,
